Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS 
0.35,7765.71,2721.98,0.85,2.42,8.93,6.98,8.98,37.75
0.76,3655.33,2778.15,0.82,1.08,9.53,7.04,4.58,37.74
1.24,1896.61,2347.49,0.84,0.68,8.56,7.33,2.91,37.61
0.45,6136.84,2733.29,0.86,1.92,10.93,6.72,7.38,37.57
0.42,6605.65,2792.13,0.82,1.95,8.29,6.96,7.84,37.56
0.36,8521.87,3027.78,0.86,2.42,9.8,9.27,8.8,37.44
0.35,7400.11,2616.65,0.84,2.37,8.87,6.92,8.85,37.44
0.29,6326.6,1817.1,0.88,3.02,13.17,10.76,10.68,37.42
0.38,5459.08,2051.04,0.85,2.27,9.6,9.11,8.44,37.42
0.45,4301.9,1935.8,0.87,1.89,17.27,10.01,7.19,37.37
0.42,5875.85,2474.69,0.83,1.98,9.31,8.09,7.63,37.35
0.49,5705.21,2780.81,0.85,1.75,10.69,6.61,6.76,37.32
0.45,6611.83,2994.1,0.85,1.88,8.66,7.41,7.25,37.21
0.41,4447.12,1814.86,0.85,2.07,9.89,9.35,8.01,37.14
0.36,7095.05,2577.12,0.89,2.46,9.54,8.63,9.06,37.14
0.34,5469.6,1859.9,0.91,2.54,20.24,8.58,9.1,37.13
0.49,5701.73,2813.17,0.85,1.73,10.49,6.5,6.65,37.13
0.4,7180.86,2890.74,0.82,2.03,7.86,7.06,7.83,37.11
0.29,5729.76,1658.49,0.88,3.04,25.74,12.09,10.53,37.08
0.79,1830.1,1448.49,0.84,1.07,11.99,11.8,4.37,37
0.27,8317.61,2248.5,0.89,3.29,13.08,10.58,11.17,36.96
0.51,4751.43,2423.37,0.83,1.63,9.79,9.01,6.51,36.91
0.59,4120.25,2426.83,0.83,1.4,9.81,8.91,5.7,36.88
0.38,4794,1831.72,0.85,2.24,10.42,9.84,8.21,36.87
0.5,4744.86,2387.09,0.83,1.65,10,9.17,6.58,36.85
0.51,4720.12,2403.97,0.83,1.63,9.91,9.12,6.5,36.83
0.36,4946.8,1790.4,0.88,2.4,16.91,11.07,8.7,36.79
0.51,4752.39,2422.45,0.83,1.63,9.8,8.99,6.48,36.72
0.36,5328.52,1909.73,0.85,2.36,14.22,13.19,8.61,36.71
0.26,5051.52,1330.24,0.88,3.34,13.84,13.57,11.54,36.68
0.36,5328.7,1909.8,0.89,2.36,14.23,13.19,8.54,36.58
0.22,5924.97,1300.62,0.9,4.12,26.88,14.28,13.41,36.58
0.37,5350.05,1902.46,0.83,2.26,14.84,13.17,8.39,36.55
0.22,5648.4,0,0.9,4.04,32.01,17.55,13.07,36.53
0.37,5369.84,1898.65,0.83,2.26,14.91,13.24,8.4,36.53
0.36,5202.7,1897.6,0.89,2.33,14.92,13.26,8.5,36.51
0.37,5181.1,1892.1,0.89,2.33,14.91,13.24,8.31,36.51
0.36,8104.12,2921.95,0.83,2.29,7.62,7.09,8.48,36.44
0.36,5171.1,1861,0.89,2.37,14.22,13.29,8.47,36.33
0.25,5440.87,1369.66,0.9,3.58,28.43,15.94,11.72,36.33
0.35,5359.17,1832.43,0.83,2.36,15.26,14.49,8.65,36.32
0.78,3034.12,2360.02,0.87,1.12,12.65,9.88,4.37,36.26
0.42,3805.53,1588.14,0.84,2,11.17,10.59,7.71,36.22
0.28,5257.83,1433.91,0.88,3.15,27.51,14.89,10.65,36.22
0.28,5102.9,1426.8,0.92,3.19,27.51,14.88,10.64,36.18
0.49,3494.33,1705.06,0.82,1.69,18.69,10.41,6.49,36.18
0.89,1849.21,1639.49,0.85,0.96,20.43,19.83,3.87,36.16
0.36,5397.05,1865.08,0.83,2.3,14.21,13.29,8.42,36.09
1.05,2791.79,2920.01,0.79,0.75,6.93,6.51,3.26,36.07
1.08,2681.3,2895.88,0.79,0.73,6.9,6.47,3.16,36.07
0.41,3857.59,1571.63,0.85,2.09,13.27,12.74,7.8,36.06
0.5,3530.27,1752.75,0.84,1.69,18.73,10.44,6.34,35.96
0.5,5136.13,2573.3,0.83,1.66,8.45,7.8,6.24,35.96
0.38,4566.1,1724.1,0.89,2.3,24.55,12.17,8.12,35.95
0.34,5131.43,1730.68,0.87,2.58,26.34,10.27,8.91,35.95
0.34,5145.2,1735.3,0.9,2.57,26.34,10.28,8.85,35.93
0.38,8246.44,3157.55,0.83,2.17,7.97,7.38,7.9,35.91
0.33,4643.54,1553.24,0.86,2.58,14.27,12.8,9.32,35.8
1.03,2811.02,2905.94,0.79,0.76,6.91,6.48,3.27,35.8
0.31,5712.8,1782.2,0.9,2.77,17.24,11.95,9.49,35.72
0.33,4708.43,1537.39,0.86,2.65,14.36,12.99,9.49,35.64
0.39,4623.96,1786.07,0.82,2.13,9.59,9.19,7.9,35.63
0.48,6615.73,3150.82,0.81,1.69,6.49,5.75,6.48,35.62
1.49,1604.96,2399.09,0.76,0.51,6.49,5.45,2.31,35.61
0.76,2961.7,2255.44,0.92,1.21,10.28,8.94,4.43,35.6
0.36,3952.7,1433.61,0.84,2.31,12.27,11.81,8.4,35.55
0.28,5268.4,1497.6,0.92,3.1,17.3,15.33,10.38,35.51
0.3,5084.77,1539.48,0.89,2.93,15.23,14.05,10.06,35.51
0.29,5165.8,1517.2,0.91,3,17.29,15.75,10.07,35.49
0.55,4647.14,2554.49,0.81,1.47,8.94,6.93,5.81,35.48
0.41,3387.26,1376.28,0.87,2.13,13.78,13.27,7.6,35.48
0.28,5405.41,1488.33,0.87,3.05,17.29,15.33,10.24,35.46
0.48,6705.67,3209,0.82,1.71,6.6,6.06,6.42,35.45
0.41,3789.49,1543.31,0.85,2.08,13.46,12.88,7.67,35.42
0.39,5654.38,2218.31,0.84,2.15,9.3,8.83,7.76,35.41
0.33,5274.8,1721.5,0.91,2.66,18.52,14.1,8.93,35.38
0.24,6199.7,1493,0.9,3.73,24.61,14.65,12.05,35.36
0.43,3308.74,1419.33,0.84,1.96,12.85,12.07,7.24,35.35
0.41,3426.84,1404.17,0.85,2.08,14.47,13.15,7.62,35.35
0.37,4881.77,1797.33,0.86,2.35,20.94,10.64,8.07,35.31
0.34,5548.62,1894.07,0.85,2.49,10.88,10.42,8.79,35.31
0.4,3554.05,1434.67,0.85,2.11,14.53,13.26,7.71,35.28
0.4,3560.76,1437.38,0.85,2.11,14.53,13.26,7.71,35.27
0.57,2675.9,1534.34,0.81,1.42,10.82,10.67,5.64,35.27
0.41,4594.4,1878.2,0.89,2.06,21.83,9.07,7.35,35.24
0.34,5087.3,1716.35,0.87,2.57,18.52,14.09,8.74,35.24
0.41,4577.38,1871.22,0.84,2.06,21.82,9.07,7.36,35.23
0.67,4589.42,3095.07,0.78,1.16,6.53,6.16,4.76,35.19
0.68,5172.55,3541.14,0.78,1.14,6.81,5.21,4.68,35.19
0.35,5274.46,1832.55,0.85,2.44,10.8,10.38,8.62,35.18
0.5,4902.99,2464.19,0.83,1.66,8.61,7.49,6.1,35.18
0.57,3835.08,2182.68,0.79,1.39,7.52,6.9,5.57,35.18
0.37,4891.09,1798.14,0.84,2.25,20.94,10.64,7.93,35.17
0.3,9258.2,2755.94,0.86,2.89,8.96,7.39,10.28,35.16
0.29,5444.26,1584.25,0.88,3.02,23.87,20.39,9.89,35.15
0.43,3363.5,1457.1,0.85,1.96,12.8,12.08,7.13,35.13
0.5,5853.7,2936.67,0.8,1.6,8.4,6.59,6.16,35.13
0.38,3852.68,1466.57,0.85,2.23,14.51,13.11,7.95,35.12
0.41,3528.44,1435.38,0.85,2.09,14.47,13.16,7.61,35.09
0.33,5312.33,1691.7,0.85,2.58,23.73,19.64,8.9,35.06
0.43,4381.06,1879.62,0.8,1.86,10.15,9.52,7.16,35.05
0.33,5776.1,1929.4,0.88,2.58,17.2,11.68,8.88,35.04
0.34,4001.09,1365.59,0.87,2.54,13.9,13.46,8.74,35.04
0.39,8088.3,3186.95,0.82,2.09,7.72,7.17,7.5,35.03
0.39,4502.8,1734.2,0.88,2.21,18.49,11.7,7.65,35.01
0.45,3778.6,1687.79,0.86,1.93,26.22,10.85,7.03,35.01
0.37,4857.1,1813.7,0.91,2.31,20.93,10.63,7.98,35
0.36,4682.6,1667.9,0.89,2.42,14.32,13.38,8.22,35
0.38,4849.7,1854.2,0.89,2.21,24.3,9.04,7.78,34.99
0.44,3073.47,1353.36,0.86,1.95,14.28,13.47,7.15,34.99
0.46,2909.48,1330.67,0.87,1.91,14.78,14.33,6.87,34.99
0.44,5317.2,2338.25,0.86,1.96,9.85,9.48,7.18,34.97
0.45,7907.02,3553.29,0.8,1.79,7.4,4.9,6.86,34.96
0.34,5606.31,1924.63,0.86,2.51,17.2,11.68,8.58,34.95
0.55,4002.75,2220.62,0.79,1.43,9.16,8.83,5.66,34.94
1.03,1800.82,1861.13,0.67,0.66,8.93,8.54,3.24,34.94
0.41,4332.3,1732.1,0.82,2.01,18.48,11.69,7.32,34.94
0.35,5313.51,1886.22,0.84,2.37,10.68,10.28,8.39,34.92
0.41,4585.5,1864.2,0.92,2.08,22.37,9.74,7.2,34.91
0.17,6250.1,1065.2,0.95,5.44,23.04,21.61,15.72,34.91
0.36,4723.72,1662.18,0.84,2.37,14.29,13.36,8.27,34.91
0.21,6315.68,1326.81,0.91,4.34,26.2,14.45,13.48,34.89
0.45,3722.96,1693.49,0.8,1.77,10.12,9.4,6.8,34.85
0.41,6531.47,2649.71,0.81,2.01,8.85,7.94,7.32,34.85
0.41,6832.6,2788.4,0.81,2.05,12.05,7.55,7.33,34.84
0.63,3281.2,2068.43,0.8,1.27,9.34,8.5,5.03,34.84
0.4,4325.69,1730.86,0.85,2.12,18.48,11.69,7.45,34.83
0.33,5152.2,1695.9,0.9,2.63,23.73,19.64,8.82,34.82
0.46,3762.7,1721.33,0.81,1.78,10.18,9.51,6.76,34.8
0.35,4798.21,1700.25,0.87,2.45,21.6,14.64,8.28,34.8
0.41,3408.46,1395.02,0.84,2.04,14.47,13.15,7.51,34.8
0.42,5794.35,2430.63,0.81,1.94,8.24,7.34,7.09,34.79
0.41,4568.91,1879.04,0.84,2.05,10.98,10.73,7.36,34.76
0.17,6424.09,1064.27,0.92,5.38,23.04,21.61,15.62,34.73
0.42,5859.31,2485.2,0.84,1.97,8.47,7.51,6.98,34.72
0.18,6451.73,1128.4,0.91,5.1,21.83,20.59,15.05,34.72
0.34,5163.59,1729.92,0.85,2.54,21.5,11.66,8.65,34.71
0.4,4281.15,1695.49,0.86,2.16,23.94,23.24,7.48,34.7
0.39,5226.18,2036.85,0.84,2.15,19.71,7.99,7.61,34.69
0.33,4707.55,1536.83,0.86,2.64,22.84,13.13,8.9,34.69
0.34,6200.47,2104.46,0.84,2.49,13.61,11.6,8.45,34.68
0.18,6301.4,1125.9,0.94,5.15,21.83,20.59,14.93,34.67
0.48,5574.39,2676.29,0.78,1.63,8.78,7.27,6.32,34.63
0.43,4607.18,2000.03,0.83,1.91,15.83,8.55,6.81,34.61
0.42,6333.65,2671.92,0.81,1.92,8.82,7.87,7.01,34.6
0.28,6020,1679.85,0.88,3.17,25.05,12.95,10.29,34.58
0.42,4117.44,1719.51,0.79,1.88,10.98,10.64,7.33,34.56
0.42,6473.08,2733.59,0.82,1.95,9.03,7.89,6.99,34.56
0.41,4187.1,1697.58,0.85,2.1,23.56,22.94,7.32,34.55
0.44,4167.7,1815.5,0.89,1.96,21.62,10.92,6.82,34.52
0.39,4388.2,1730.8,0.88,2.16,23.7,22.85,7.57,34.52
0.33,3575.92,1163.36,0.87,2.68,18.97,17.57,9.04,34.51
0.33,3575.4,1163.2,0.89,2.69,19,17.58,8.93,34.48
0.4,4464.82,1793.12,0.82,2.05,9.75,9.28,7.32,34.46
0.19,4807.37,894.22,0.92,4.83,33.09,21.37,14.24,34.46
0.78,2897.78,2252.5,0.84,1.08,11.46,8.16,4.21,34.45
0.47,3709.73,1732.96,0.82,1.76,10.16,9.46,6.55,34.44
0.37,4586.55,1680.62,0.86,2.35,23.3,10.63,8.11,34.43
0.94,3062.84,2868.03,0.81,0.87,8.88,5.96,3.47,34.39
0.45,3780.04,1699.82,0.78,1.73,11.03,10.67,6.82,34.38
0.37,6442.51,2397.66,0.83,2.24,10.8,9.99,7.84,34.38
0.41,4564.4,1894.01,0.86,2.06,20.32,9.78,7,34.35
0.13,6580.9,832.7,0.97,7.46,42.8,24.24,19.33,34.34
0.36,4593.42,1674.28,0.86,2.36,23.31,10.72,8.12,34.31
0.41,4670.75,1924.67,0.85,2.07,19.92,9.89,7.08,34.29
0.68,3334,2268.07,0.79,1.16,8.39,7.99,4.61,34.29
0.42,4093.25,1713.56,0.85,2.03,23.76,23.11,7.02,34.27
0.33,3679.56,1169,0.85,2.6,18.97,17.57,8.99,34.26
0.47,3641.15,1712.25,0.82,1.74,10.36,9.78,6.51,34.2
0.38,5659.92,1908.09,0.83,2.19,20.32,9.78,7.54,34.18
0.41,4923.9,2016.6,0.87,2.04,19.69,7.99,7.18,34.17
0.4,7699.38,3109.42,0.84,2.09,8.14,7.6,7.12,34.15
0.36,4934.58,1778.34,0.84,2.34,20.97,11.08,7.93,34.13
0.34,5067.16,1747.44,0.86,2.48,24.58,11.71,8.45,34.13
0.4,7650.99,3065.52,0.82,2.05,7.67,7.05,7.19,34.12
0.32,4985.9,1575,0.88,2.74,18.78,14.89,8.96,34.09
0.46,2982.2,1368,0.85,1.83,15.49,14.25,6.57,34.07
0.37,5130.6,1921.1,0.87,2.26,12.37,10.87,7.79,34.04
0.58,3706.14,2140.82,0.81,1.41,15.08,7.95,5.22,34.03
0.42,3288.9,1391.4,0.85,1.98,15.37,14.18,7.09,34.02
0.57,3456.2,1980.1,0.86,1.45,17.24,9.16,5.24,34
0.45,4244.85,1930.56,0.85,1.86,17.98,9.35,6.42,34
0.43,3447,1468.3,0.84,1.96,18.76,13.38,6.94,33.99
0.56,4675.38,2605.17,0.79,1.42,8.2,7.24,5.46,33.95
0.52,3397.8,1771.7,0.87,1.6,20.36,9.01,5.78,33.94
0.46,2980.03,1367.01,0.84,1.83,15.49,14.25,6.56,33.93
0.93,3134.37,2924.97,0.79,0.85,6.99,5.79,3.42,33.91
0.42,4091.13,1715.62,0.84,2.01,22.86,22.3,6.98,33.91
0.5,5914.11,2941.54,0.83,1.68,8.23,7.11,5.92,33.89
0.41,4559.9,1856.6,0.88,2.06,24.96,9.12,7.06,33.88
0.4,5744.8,2293.2,0.88,2.07,11.38,8.59,7.14,33.88
1.49,1595.86,2379.48,0.79,0.53,10.66,10.02,2.2,33.86
0.42,4977.58,2086.12,0.82,1.96,15.03,11.8,7.01,33.86
0.37,5250.28,1932.12,0.82,2.2,12.37,10.87,7.66,33.84
0.42,3296.5,1393.5,0.85,1.97,15.38,14.19,7.04,33.81
0.38,5154.88,1896.18,0.8,2.12,14.23,11.76,7.56,33.77
0.44,4490.01,1964.33,0.84,1.92,18.61,16.93,6.67,33.76
0.46,3708.27,1718.13,0.83,1.79,14.24,11.56,6.37,33.74
0.42,3299.67,1394.82,0.83,1.97,15.37,14.17,6.99,33.73
0.42,3292.58,1392.89,0.83,1.97,15.37,14.18,6.98,33.73
0.38,4994.9,1891.3,0.86,2.2,14.24,11.76,7.52,33.71
0.38,4996.82,1892.08,0.83,2.2,14.23,11.76,7.54,33.67
0.46,4675.69,2170.52,0.82,1.76,10.79,9.22,6.24,33.64
0.41,4941.05,2030.4,0.83,2.02,12.02,9.86,7.05,33.63
0.58,3735.97,2177.04,0.81,1.4,14.91,7.86,5.13,33.58
0.3,4219.31,1260.97,0.87,2.9,21.11,19.25,9.43,33.57
0.58,3709.53,2149.27,0.81,1.4,15.07,7.94,5.14,33.57
0.59,3587.4,2146.87,0.77,1.3,15.08,7.95,5.05,33.55
0.42,5392.04,2201.9,0.8,1.9,10.24,8.25,6.78,33.55
0.75,3841.24,2896.76,0.8,1.05,6.97,5.78,4.13,33.54
0.44,4621.33,2025.28,0.81,1.82,14.44,10.21,6.48,33.54
0.46,4833.41,2175.07,0.79,1.71,10.79,9.22,6.22,33.53
0.36,5022.27,1806.32,0.84,2.34,20.67,9.94,7.82,33.5
0.36,5020.98,1804.41,0.84,2.34,20.44,9.99,7.83,33.49
0.44,5114.08,2259.03,0.8,1.81,7.33,6.9,6.52,33.48
0.66,3470.9,2301.2,0.74,1.19,9.61,7.34,4.62,33.47
0.46,4690.6,2177.5,0.86,1.76,10.79,9.22,6.26,33.47
0.43,5118.7,2219.4,0.84,1.88,11.57,8.64,6.66,33.45
0.58,3694.82,2140.75,0.81,1.4,15.06,7.95,5.12,33.44
0.44,4588.8,2035,0.87,1.87,14.44,10.21,6.51,33.43
0.45,4257.3,1913.2,0.87,1.84,18.87,11.87,6.39,33.42
0.69,3154.11,2174.44,0.92,1.33,13.43,12.12,4.58,33.41
0.4,6424.8,2598.36,0.81,2.01,9.08,7.96,7,33.4
0.58,3751.2,2174.86,0.82,1.41,15.06,7.97,5.09,33.39
0.44,4532.8,1986.9,0.86,1.9,16.87,10.74,6.53,33.38
0.71,3398.7,2429.37,0.77,1.08,8.5,6.45,4.27,33.38
0.36,4877.21,1778.75,0.84,2.3,21.09,10.8,7.7,33.34
0.59,3679.61,2172.66,0.81,1.38,14.86,7.79,5.03,33.33
0.42,4325.24,1831.45,0.82,1.95,19.41,8.59,6.78,33.32
0.61,3586.58,2170.55,0.81,1.34,15.07,7.92,4.91,33.32
0.41,5163.4,2121.5,0.86,2.03,14.91,10.65,6.93,33.31
0.59,3654.17,2154.18,0.81,1.37,15.06,7.95,4.99,33.3
0.58,3618.06,2111.75,0.81,1.39,14.9,7.9,5.09,33.29
0.45,4420.08,1988.67,0.83,1.85,16.87,10.74,6.4,33.29
0.58,3682.87,2148.33,0.82,1.4,14.9,7.97,5.07,33.27
1.76,1151.5,2024.72,0.79,0.45,8.15,7.37,1.85,33.26
0.47,4304.59,1985.18,0.8,1.7,16.87,10.74,6.15,33.26
0.47,4666.6,2170.3,0.86,1.75,12.08,9.91,6.1,33.25
0.58,3762.51,2173.28,0.82,1.41,15.1,7.96,5.1,33.25
0.58,3712.19,2144.32,0.81,1.4,15.09,7.93,5.1,33.23
0.59,3747.43,2214.9,0.82,1.39,12.36,9.2,5.01,33.22
0.59,3680.78,2169.86,0.81,1.37,15.09,7.95,4.99,33.19
0.58,3746.15,2178.39,0.82,1.4,15.04,7.96,5.05,33.19
1.01,1766.5,1777.2,0.78,0.79,18.95,10.51,3.13,33.18
0.59,3703.31,2170.71,0.82,1.39,14.86,7.84,5.03,33.17
0.46,4131.85,1919.43,0.8,1.72,9.88,9.3,6.29,33.17
0.51,3964.38,2031.15,0.8,1.56,15.7,8.77,5.69,33.17
0.63,3435.33,2167.33,0.77,1.23,15.06,7.93,4.73,33.17
0.58,3733.91,2180.71,0.82,1.4,15.02,7.97,5.01,33.16
0.59,3681.1,2171.5,0.82,1.37,15.08,7.94,4.99,33.15
0.58,3736.76,2153.15,0.82,1.41,14.99,7.91,5.12,33.14
0.59,3618.85,2145.84,0.82,1.38,14.78,7.99,4.96,33.14
0.59,3603.35,2150.12,0.77,1.3,15.09,7.95,4.98,33.14
0.47,4635.8,2155.92,0.81,1.75,12.08,9.91,6.14,33.13
0.47,4783.9,2161.2,0.79,1.7,12.08,9.91,6.13,33.11
0.59,3657.05,2165.23,0.77,1.31,15.1,7.97,4.97,33.1
0.82,2169.47,1778.27,0.82,1.01,19.73,10.49,3.83,33.08
0.58,3738.9,2180.84,0.82,1.4,15.03,7.97,5.01,33.08
0.59,3600.43,2128.98,0.82,1.38,14.79,8.03,4.97,33.07
0.58,3772.54,2178.47,0.81,1.41,15.1,7.97,5.07,33.07
0.68,3455.01,2346.43,0.81,1.19,8.75,7.46,4.4,33.06
0.65,3132.14,2024.29,0.8,1.23,15.64,8.75,4.62,33.04
0.58,3715.01,2144.53,0.81,1.41,15.09,7.95,5.07,33.04
0.59,3577.44,2146.89,0.77,1.3,15.06,7.95,4.95,33.03
0.46,4306.14,1992.38,0.83,1.8,16.88,10.61,6.18,33.02
0.58,3720.11,2170.73,0.81,1.39,15.01,7.94,5,33.02
0.58,3761.49,2170.33,0.81,1.41,15.1,7.96,5.07,33.02
0.58,3712.5,2162.47,0.82,1.4,14.96,7.93,5.01,32.99
0.43,4601.6,1985.4,0.86,1.91,13.74,11.43,6.55,32.98
0.58,3747.99,2163.27,0.81,1.41,15.11,7.95,5.06,32.98
0.37,4996.7,1853.25,0.83,2.25,18.91,11.33,7.49,32.97
0.58,1136.1,1315.6,0.83,1.38,7.88,4.15,5.03,32.96
0.46,4071.57,1865.2,0.83,1.81,15.83,12.71,6.25,32.95
0.42,4419.19,1875.97,0.85,1.99,23.51,11.54,6.68,32.95
0.59,3703.25,2186.32,0.81,1.38,15.1,7.96,4.94,32.94
0.58,3740.95,2172.01,0.81,1.4,15.07,7.95,5.02,32.93
0.54,3228.25,1729.38,0.83,1.55,26.3,9.08,5.44,32.93
0.59,3706.88,2186.59,0.81,1.38,15.1,7.96,4.95,32.92
0.58,3749.11,2178.19,0.82,1.4,15.06,7.97,5.01,32.92
1.02,2254.52,2296.3,0.79,0.78,10.57,8.82,3.11,32.92
0.47,4026.2,1872.4,0.84,1.77,15.83,12.71,6.1,32.91
0.59,3650.9,2171.18,0.77,1.31,15.11,7.95,4.95,32.91
0.59,3685.88,2171.3,0.81,1.38,15.1,7.97,4.94,32.89
0.51,3909.38,2010.08,0.8,1.55,15.74,8.8,5.63,32.88
0.59,3732.8,2197.9,0.83,1.37,15.11,7.93,4.94,32.87
0.59,3723,2198.8,0.83,1.37,15.07,7.94,4.93,32.86
0.59,3714.45,2177.55,0.82,1.39,15,7.98,4.96,32.86
0.6,3629.24,2178.43,0.77,1.29,15.04,7.94,4.88,32.86
0.58,3750.17,2163.27,0.81,1.41,15.11,7.95,5.04,32.84
0.59,3728.2,2197.5,0.83,1.37,15.08,7.94,4.93,32.83
0.59,3693.64,2186.93,0.81,1.37,15.08,7.97,4.92,32.83
0.59,3692.22,2190.67,0.81,1.37,15.06,7.97,4.9,32.83
0.59,3634.19,2150.31,0.81,1.37,15.11,7.95,4.94,32.83
0.59,3698.75,2186.4,0.81,1.37,15.09,7.97,4.92,32.82
0.58,3749.48,2164.43,0.81,1.41,15.11,7.92,5.02,32.81
0.45,4073.3,1827.9,0.86,1.84,19.43,8.59,6.32,32.8
0.59,3698,2186.95,0.81,1.37,15.09,7.96,4.91,32.8
0.59,3639.51,2173.87,0.77,1.3,15.08,7.95,4.91,32.8
0.59,3694.12,2188.59,0.81,1.37,15.06,7.97,4.9,32.79
0.71,2449.92,1735.18,0.83,1.17,26.23,8.98,4.22,32.79
0.42,4151.1,1743,0.9,2.01,18.76,11.87,6.65,32.78
0.43,4755.35,2024.64,0.83,1.96,22.3,8.91,6.55,32.78
0.58,3744.33,2175.49,0.81,1.4,15.06,7.93,4.99,32.77
0.58,3751.24,2162.89,0.81,1.41,15.11,7.94,5.03,32.77
0.36,4861.11,1754.87,0.83,2.29,15.75,11.01,7.7,32.76
0.58,3747.95,2176.03,0.82,1.4,15.06,7.97,4.99,32.76
0.59,3718.5,2200.2,0.83,1.37,15.07,7.94,4.91,32.74
0.59,3693.27,2189.78,0.81,1.37,15.05,7.97,4.89,32.74
0.48,5848.55,2800.8,0.82,1.71,8.38,6.67,5.97,32.74
0.83,2122.15,1756.64,0.74,0.89,7.26,5.67,3.69,32.72
0.59,3650.21,2171.06,0.77,1.31,15.11,7.94,4.92,32.72
0.59,3590.92,2154.75,0.77,1.29,15.07,7.94,4.9,32.72
0.59,3699.65,2193.76,0.81,1.36,14.93,7.84,4.89,32.71
0.59,3719.88,2180.6,0.82,1.39,15,7.97,4.93,32.7
1.19,2459.5,2935.68,0.78,0.66,7.79,6.2,2.59,32.69
0.58,3754.99,2173.52,0.82,1.41,15.09,7.96,5,32.69
0.59,3721.5,2194.94,0.82,1.38,14.9,7.9,4.91,32.69
0.61,3561.15,2175.3,0.77,1.27,14.93,7.84,4.78,32.66
0.58,3737.66,2165.58,0.81,1.4,15.08,7.95,4.99,32.65
0.59,3724.29,2180.08,0.82,1.39,15,7.98,4.93,32.65
0.58,3748.13,2182.61,0.81,1.4,14.99,7.97,4.96,32.64
0.58,3741.5,2179.31,0.82,1.4,15.03,7.97,4.95,32.63
0.51,3330.36,1698.95,0.84,1.64,23.62,22.93,5.62,32.62
0.54,3857.65,2080.35,0.81,1.5,9.81,7.83,5.34,32.62
0.59,3647.2,2169.9,0.84,1.37,14.96,7.91,4.9,32.6
0.6,3683.72,2194.25,0.81,1.36,15.04,7.97,4.85,32.59
0.52,5287.63,2743.68,0.77,1.49,8.46,6.32,5.5,32.59
0.59,3634.1,2156.3,0.83,1.36,15.07,7.92,4.89,32.58
0.55,3296.3,1817,0.85,1.47,18.68,9.17,5.24,32.58
0.58,3737.8,2179.03,0.82,1.4,15.04,7.97,4.94,32.58
0.59,3686.37,2191.24,0.81,1.37,15.06,7.97,4.86,32.57
0.58,3753.54,2173.66,0.82,1.41,15.08,7.97,4.98,32.57
0.58,3749.26,2175.1,0.82,1.41,15.05,7.97,4.97,32.57
0.49,3908.21,1918.63,0.85,1.73,18.28,9.89,5.62,32.56
0.4,5581.34,2226.89,0.81,2.03,8.39,7.62,6.93,32.56
