Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS 
0.89,2175.35,1934.18,0.73,0.82,8.56,6.88,2.78,26.79
0.58,3116.4,1803.7,0.77,1.32,10.81,9.02,4.1,26.78
1.13,2223.32,2506.57,0.71,0.63,6.6,5.37,2.25,26.78
0.83,3288.55,2716.39,0.74,0.89,7.16,5.44,2.98,26.78
0.48,5439.02,2627.73,0.78,1.62,8.81,7.37,4.81,26.77
0.77,2871.51,2209.61,0.74,0.97,8.14,7.23,3.2,26.77
0.75,2906.04,2186.86,0.75,0.99,8.21,7.25,3.26,26.77
0.49,3436.7,1676.52,0.77,1.57,12.29,9.86,4.78,26.77
0.86,3283.42,2839.38,0.73,0.85,6.87,5.69,2.85,26.76
0.7,2596.6,1813,0.76,1.07,13.28,8.89,3.47,26.75
0.56,3394.7,1899.26,0.77,1.38,10.28,8.93,4.2,26.74
0.71,2645.19,1885.58,0.77,1.07,14.93,6.64,3.41,26.72
0.78,2146.31,1676.65,0.75,0.95,20.63,7.63,3.15,26.72
0.77,2818.57,2172.17,0.74,0.97,8.16,7.23,3.19,26.72
0.57,3127.59,1793.94,0.76,1.33,11.07,8.99,4.14,26.72
0.57,3141.91,1799.11,0.77,1.34,11.08,9.01,4.14,26.71
0.44,2758.6,1211.2,0.83,1.81,24.44,23.63,5.31,26.7
0.62,5084.39,3132.4,0.76,1.24,7.35,5.83,3.85,26.7
0.57,3323.4,1890.8,0.79,1.35,10.67,8.89,4.12,26.68
0.58,5106.8,2948,0.83,1.36,8.39,6.73,4.04,26.67
0.57,3358.2,1899.3,0.79,1.36,10.28,8.93,4.12,26.66
0.71,2656.27,1891.29,0.77,1.08,14.95,6.62,3.41,26.66
0.5,4609.09,2297.02,0.77,1.55,11.31,8.37,4.66,26.66
0.58,3549.4,2041.6,0.84,1.36,15.94,10.49,4.03,26.65
0.63,3229.5,2031.1,0.84,1.23,13.67,9.64,3.74,26.64
0.53,4680.16,2461.03,0.78,1.48,9.6,8.16,4.37,26.64
0.53,4639.5,2439.6,0.83,1.49,9.6,8.17,4.34,26.63
0.59,3488.3,2075,0.84,1.31,19.04,6.57,3.96,26.63
0.58,5086.05,2936.09,0.78,1.35,8.37,6.73,4.04,26.63
0.79,2738.52,2175.52,0.74,0.94,8.16,7.24,3.09,26.63
0.78,3097.6,2426.3,0.8,0.98,8.53,6.5,3.08,26.62
0.78,2790.18,2176.74,0.74,0.95,8.16,7.22,3.14,26.62
0.84,2641.38,2214.95,0.75,0.89,12.63,6.04,2.92,26.62
0.58,5031.5,2918,0.83,1.36,8.55,6.75,4.01,26.6
0.59,3679.61,2177.57,0.77,1.3,12.95,9.87,4,26.6
0.59,3681.4,2168.1,0.84,1.33,17.77,7.52,3.96,26.59
0.77,2702.98,2090.06,0.75,0.96,8.01,7.1,3.16,26.58
0.86,2506.47,2208.54,0.67,0.78,12.63,6.04,2.84,26.57
0.58,3100.9,1795,0.78,1.32,11.08,9.01,4.06,26.55
0.61,3949.01,2392.54,0.79,1.3,9.06,7.29,3.86,26.54
0.59,3702.64,2193.22,0.77,1.29,9.23,7.69,4.05,26.5
0.58,3999.66,2315.24,0.78,1.34,7.79,6.82,4.06,26.5
0.8,2730.84,2183.53,0.74,0.93,8.13,7.25,3.05,26.47
0.48,6461.85,3123.64,0.79,1.62,6.89,5.63,4.67,26.47
0.57,3762,2136.7,0.86,1.38,13.85,6.76,4.04,26.46
0.88,3257.01,2857.95,0.73,0.83,6.76,5.52,2.78,26.44
0.51,6229.27,3205.28,0.77,1.5,6.42,5.87,4.45,26.43
0.67,3227.39,2169.48,0.79,1.17,13.72,6.45,3.53,26.42
0.53,3536,1880.67,0.78,1.46,8.83,8.39,4.34,26.4
0.54,5296.85,2862.67,0.8,1.47,8.76,7.39,4.27,26.39
0.6,1954.6,1174.5,0.74,1.25,19.1,13.86,3.99,26.37
0.8,3222.41,2579.09,0.76,0.95,7.24,6.45,3.05,26.37
0.49,3611.26,1781.33,0.78,1.58,16.05,15.79,4.69,26.37
0.67,2677.43,1804.21,0.75,1.12,12.48,8.7,3.54,26.37
0.65,3109.4,2030.5,0.83,1.19,13.87,9.42,3.61,26.36
0.82,2634.52,2160.41,0.73,0.89,8.75,7.71,3.01,26.36
0.64,3346.38,2128.32,0.75,1.19,9.55,8.4,3.7,26.36
0.55,4528.28,2475.31,0.77,1.4,8.85,7.1,4.24,26.36
1.05,2349.9,2455.9,0.65,0.73,6.5,5.41,2.38,26.35
0.66,2049.38,1346.29,0.76,1.16,15.85,15.75,3.62,26.35
1.15,2157.35,2473.92,0.71,0.62,6.67,5.31,2.17,26.32
0.76,2543.32,1928.75,0.74,0.98,10.66,7.95,3.19,26.31
0.53,4652.37,2458.22,0.75,1.42,9.6,8.16,4.32,26.31
1.23,1661.03,2039.2,0.68,0.55,7.39,5.1,2.06,26.3
0.57,3307.65,1887.41,0.76,1.34,11.63,8.54,4.07,26.28
0.78,1558.19,1155.07,0.65,0.83,17.62,13.43,3.18,26.28
0.82,1514.2,1241.02,0.76,0.93,16.17,10.51,2.92,26.26
0.48,4870.51,2315.38,0.78,1.64,12.76,6.72,4.66,26.26
0.48,2624.64,1255.83,0.96,2.01,15.83,15.67,5.17,26.25
0.84,2155.32,1806.82,0.72,0.86,8.01,7.38,2.92,26.24
0.58,3257.8,1879.25,0.76,1.32,11.63,8.54,4.01,26.22
0.76,2164,1655.23,0.71,0.93,14.13,12.09,3.14,26.22
0.57,4171.5,2357,0.82,1.38,10.67,7.41,4.01,26.19
0.48,7248.23,3515.33,0.78,1.6,6.13,5.18,4.6,26.18
1.17,1756.3,2055.9,0.72,0.61,8.71,6.51,2.12,26.18
0.58,3983.95,2294.05,0.75,1.31,10.55,6.29,4,26.17
0.94,1148,1190,0.71,0.82,17.89,17.21,2.62,26.16
0.61,3568.26,2172.95,0.78,1.28,11.57,9.81,3.8,26.15
0.68,2861.7,1956.1,0.76,1.1,13.69,8.48,3.48,26.14
0.48,2624.64,1255.83,0.96,2.01,15.83,15.67,5.15,26.14
0.85,2519.88,2131.88,0.72,0.86,8.73,7.71,2.9,26.12
1.66,756.6,1254.3,0.59,0.39,12.82,12.03,1.51,26.11
0.81,2394.6,1944.75,0.75,0.92,13.7,8.47,2.96,26.11
0.67,3657.29,2445.04,0.75,1.12,8.02,6.69,3.59,26.1
0.16,8991.54,1414.62,0.98,6.23,18.53,14.58,13.96,26.08
0.58,2853.39,1665.35,0.95,1.63,12.9,12.05,4.25,26.07
